team_num,reading_type,time_diff,date_time,lat,lon,sea_temp,air_temp
7,ship,300,01/22/2005 15:00:00,-23,5,23.5,NA
7,ship,A,01/23/2005 A,-21.8,3,23.6,NA
7,ship,-300,01/23/2005 09:00:00,-20.7,2,23.3,NA
7,ship,0,01/23/2005 12:00:00,-20.3,1,22.9,NA
7,ship,A,03/01/2005 A,-12.3,3,NA,26.4
7,ship,0,03/17/2005 12:00:00,-3.1,3,26.9,26
7,ship,A,03/17/2005 A,-2.5,5,26.4,27.5
7,ship,A,03/18/2005 A,-1.2,8,27.5,27
7,ship,0,03/18/2005 12:00:00,-0.7,10,26.9,26
7,ship,300,03/22/2005 15:00:00,-10.4,9,NA,25
7,ship,0,04/11/2005 12:00:00,-22.1,9,NA,25
7,ship,A,04/12/2005 A,-19.5,6,22,24
7,ship,0,04/12/2005 12:00:00,-16.8,3,24,23
7,ship,A,04/13/2005 A,-14.1,2,25,24
7,ship,A,05/09/2005 A,-14.3,10,NA,27
7,ship,A,05/10/2005 A,-12.1,7,NA,25.5
7,ship,A,05/30/2005 A,-3.6,2,26,26.5
7,ship,A,05/31/2005 A,-1.1,8,23.9,26.3
7,ship,A,06/20/2005 A,-16.6,10,NA,25
7,ship,A,06/21/2005 A,-14.2,7,NA,24.5
7,ship,-400,07/05/2005 08:00:00,-14.6,9,18.5,22
7,ship,500,07/05/2005 17:00:00,-12.8,6,NA,26
7,ship,A,07/06/2005 A,-10.5,2,NA,23
7,ship,-400,07/06/2005 08:00:00,-9.7,1,18,22
7,ship,A,07/20/2005 A,-12.2,9,26,25.5
7,ship,0,07/31/2005 12:00:00,-3.8,2,22.8,23
7,ship,A,08/01/2005 A,-2.4,6,22.8,23.5
7,ship,A,09/26/2005 A,-17.3,10,26,25.3
7,ship,A,09/27/2005 A,-14.6,6,23,22
7,ship,A,10/09/2005 A,-6.3,1,21.7,22
7,ship,0,10/09/2005 12:00:00,-3.2,3,21.6,20.8
7,ship,A,10/10/2005 A,-2,7,22,23.2
7,ship,A,11/10/2005 A,-11.5,9,NA,25.5
7,ship,A,11/11/2005 A,-10.6,7,NA,23
7,ship,0,11/11/2005 12:00:00,-8.7,9,NA,23
7,ship,A,11/22/2005 A,-12.4,7,26.7,27.3
7,ship,A,12/05/2005 A,-17.5,9,27,25
7,ship,A,12/06/2005 A,-14.7,5,25,21
7,ship,A,12/20/2005 A,-5.5,1,23.3,22.5
7,ship,0,12/20/2005 12:00:00,-4.9,2,23.1,22
7,ship,A,12/21/2005 A,-3.8,5,23.6,23.8
7,ship,0,01/19/2006 12:00:00,-13.4,8,NA,24
7,ship,A,01/20/2006 A,-11.3,4,NA,24
7,ship,A,02/01/2006 A,-18.1,8,NA,26
7,ship,A,02/02/2006 A,-12.2,1,NA,24
7,ship,A,02/16/2006 A,-13.9,5,NA,28
7,ship,0,02/16/2006 12:00:00,-11.2,2,NA,26
7,ship,A,03/31/2006 A,-8.4,6,NA,26.5
7,ship,A,04/17/2006 A,-23.3,10,NA,28
7,ship,A,05/01/2006 A,-18.8,5,NA,23.5
7,ship,0,05/01/2006 12:00:00,-15.3,2,NA,22.5
7,ship,A,05/10/2006 A,-10,1,NA,26
7,ship,A,05/11/2006 A,-15.2,9,NA,25
7,ship,0,06/09/2006 12:00:00,-10,1,NA,24.5
7,ship,A,06/14/2006 A,-3.1,1,NA,27
7,ship,0,06/30/2006 12:00:00,-24.5,2,22.4,22.5
7,ship,A,07/01/2006 A,-22.8,3,22.8,23.5
7,ship,0,07/01/2006 12:00:00,-20.9,6,23.8,23.6
7,ship,A,07/02/2006 A,-19.2,9,24.3,25.5
7,ship,0,07/25/2006 12:00:00,-4.6,1,NA,24.5
7,ship,A,07/25/2006 A,-6,2,NA,25.4
7,ship,A,07/26/2006 A,-7.5,3,NA,25.5
7,ship,0,07/26/2006 12:00:00,-10.4,5,NA,24
7,ship,A,07/27/2006 A,-13.2,9,NA,25
7,ship,0,08/26/2006 12:00:00,-17,7,NA,22
7,ship,A,08/27/2006 A,-14.6,4,NA,23.8
7,ship,0,09/20/2006 12:00:00,-11.5,8,NA,23.5
7,ship,A,09/21/2006 A,-10,5,NA,24
7,ship,0,09/21/2006 12:00:00,-8.4,1,NA,23.5
7,ship,0,09/01/2006 12:00:00,-24.7,1,21.1,19.7
7,ship,A,09/02/2006 A,-22.9,5,21.8,19.4
7,ship,0,09/02/2006 12:00:00,-21.1,8,22.4,20.2
7,ship,0,09/24/2006 12:00:00,-14.9,8,NA,22.5
7,ship,0,09/25/2006 12:00:00,-10,1,NA,23.5
7,ship,0,10/11/2006 12:00:00,-10.1,2,NA,21.5
7,ship,A,10/12/2006 A,-12.2,4,NA,22.5
7,ship,0,10/12/2006 12:00:00,-14.3,8,NA,22.5
7,ship,A,11/11/2006 A,-23.3,10,NA,21.5
7,ship,A,11/12/2006 A,-20.3,7,NA,20.1
7,ship,0,11/12/2006 12:00:00,-18.7,6,NA,21.5
7,ship,A,11/13/2006 A,-13.9,1,NA,23.2
7,ship,A,11/15/2006 A,1.8,9,NA,27
7,ship,A,01/09/2007 A,-12.5,9,24.5,24
7,ship,A,01/10/2007 A,-10.8,9,24.5,24
7,ship,A,01/11/2007 A,-4.1,6,27.5,27
7,ship,A,01/12/2007 A,2.6,3,27.5,28.5
7,ship,0,01/15/2007 12:00:00,-12.4,1,24.7,24.2
7,ship,A,01/16/2007 A,-15.5,4,23.4,23.3
7,ship,0,01/16/2007 12:00:00,-18.9,10,23.1,23
7,ship,A,01/17/2007 A,-21.9,9,22.7,21.2
7,ship,A,01/26/2007 A,3.8,6,NA,29
7,ship,A,03/01/2007 A,0,1,NA,5.8
7,ship,A,04/01/2007 A,0,1,NA,11.4
7,ship,400,02/28/2007 16:00:00,-11.5,2,27.1,25.5
7,ship,0,03/01/2007 12:00:00,-17.8,6,24.7,24.2
7,ship,A,03/02/2007 A,-21.6,9,23,21.5
7,ship,A,03/19/2007 A,-22.4,10,23.1,21.6
7,ship,A,03/20/2007 A,-20.3,8,23.8,23.1
7,ship,0,03/20/2007 12:00:00,-16.3,5,25,27
7,ship,A,03/21/2007 A,-12.3,1,26.9,25
7,ship,0,04/08/2007 12:00:00,2.8,1,31,31.4
7,ship,0,04/17/2007 12:00:00,0.2,1,30.2,30.5
7,ship,A,04/18/2007 A,-1.3,5,30.1,26.5
7,ship,A,05/04/2007 A,-28.1,10,20.6,20.9
7,ship,0,05/04/2007 12:00:00,-27,9,21.2,20.5
7,ship,A,05/05/2007 A,-26.5,8,20.2,20.1
7,ship,0,05/05/2007 12:00:00,-25.5,7,22,23.2
7,ship,A,05/06/2007 A,-19.7,7,22.7,21.5
7,ship,0,05/06/2007 12:00:00,-16.7,5,24.7,24.5
7,ship,A,05/07/2007 A,-12.3,1,25.9,23
7,ship,0,05/07/2007 12:00:00,-21.9,3,22.7,23.5
7,ship,A,05/08/2007 A,-21.4,1,22.3,22.2
7,ship,0,05/08/2007 12:00:00,-20.3,2,22.7,22.7
7,ship,A,06/01/2007 A,-12.6,1,24.7,23.8
7,ship,A,06/02/2007 A,-20.2,8,23.1,19.2
7,ship,0,06/11/2007 12:00:00,-22.1,10,21.4,21.2
7,ship,A,06/11/2007 A,-20.2,8,21.6,20
7,ship,A,06/12/2007 A,-18.1,6,22.7,19.8
7,ship,A,07/01/2007 A,0,1,NA,6.7
7,ship,A,07/06/2007 A,-12.4,1,NA,22
7,ship,A,07/07/2007 A,-16.2,5,22.8,20
7,ship,0,07/07/2007 12:00:00,-18.2,6,21.6,19.8
7,ship,0,07/16/2007 12:00:00,-20.1,2,21,19
7,ship,500,07/16/2007 17:00:00,-21,1,20.8,19.1
7,ship,A,07/17/2007 A,-22,3,21.9,18.3
7,ship,0,07/17/2007 12:00:00,-23.9,6,19.3,18.2
7,ship,500,07/17/2007 17:00:00,-24.7,7,19.5,17.9
7,ship,A,07/18/2007 A,-25.8,8,18.8,17.2
7,ship,0,07/22/2007 12:00:00,-21.3,9,20.3,22.2
7,ship,A,07/22/2007 A,-19.2,7,19.8,18
7,ship,A,07/23/2007 A,-17.4,6,20.6,18.4
7,ship,0,07/23/2007 12:00:00,-13.4,3,23,21
7,ship,500,07/26/2007 17:00:00,-20.7,10,18,16.6
7,ship,A,07/27/2007 A,-19.6,7,19,17.7
7,ship,A,07/28/2007 A,-18.2,1,20.6,19.3
7,ship,A,08/01/2007 A,0,1,NA,9.5
7,ship,A,09/01/2007 A,0,1,NA,12.2
7,ship,A,08/08/2007 A,-18.6,3,20.3,17.4
7,ship,0,08/08/2007 12:00:00,-19,5,19.7,17.4
7,ship,A,08/09/2007 A,-20.5,9,18.6,15.9
7,ship,0,08/17/2007 12:00:00,-27.1,10,18,18.8
7,ship,A,08/18/2007 A,-24.3,7,20.3,16.9
7,ship,0,08/18/2007 12:00:00,-23.2,5,19.1,19.4
7,ship,500,08/18/2007 17:00:00,-22.4,4,19.5,17.8
7,ship,A,08/19/2007 A,-20.3,1,20,18.2
7,ship,500,08/29/2007 17:00:00,-20.6,1,19.8,17.3
7,ship,A,08/30/2007 A,-22.7,4,18.9,16.4
7,ship,A,08/31/2007 A,-26.8,10,18.1,17.5
7,ship,0,08/16/2007 12:00:00,-11.2,2,23.1,20.8
7,ship,A,08/16/2007 A,-13.2,1,22,19
7,ship,A,08/17/2007 A,-14.9,4,20.2,17.6
7,ship,A,08/27/2007 A,-8.6,1,NA,22
7,ship,0,08/27/2007 12:00:00,-9.3,5,NA,22.8
7,ship,A,08/28/2007 A,-10.1,7,23.6,21.2
7,ship,0,09/01/2007 12:00:00,-18.9,7,18.9,17.8
7,ship,A,09/02/2007 A,-15,4,20.8,19.6
7,ship,0,09/02/2007 12:00:00,-11.2,2,23.1,22.8
7,ship,A,09/26/2007 A,-11.9,2,22.7,20
7,ship,0,09/26/2007 12:00:00,-13.8,3,20.3,19.4
7,ship,A,09/27/2007 A,-17.6,6,18.9,17.8
7,ship,0,09/27/2007 12:00:00,-21.2,9,18.9,18.8
7,ship,A,09/10/2007 A,-7,7,26,22.8
7,ship,A,09/11/2007 A,-7.6,6,26.5,22.8
7,ship,0,10/12/2007 12:00:00,-17.8,6,NA,19
7,ship,0,10/29/2007 12:00:00,-19.9,2,19.7,18.8
7,ship,A,11/24/2007 A,0.3,1,28.4,25.5
7,ship,A,11/10/2007 A,-11.2,2,22.3,20.5
7,ship,0,11/10/2007 12:00:00,-12.9,1,21.9,20.8
7,ship,A,11/11/2007 A,-16.2,5,20,18.7
7,ship,0,11/11/2007 12:00:00,-19.4,7,19.7,19.6
7,ship,A,11/12/2007 A,-22.6,10,19.4,17.9
7,ship,A,11/09/2007 A,-4.9,2,26.3,23.1
7,ship,A,11/23/2007 A,-13.9,1,20.4,20.1
7,ship,0,11/23/2007 12:00:00,-15.3,3,19.5,20.9
7,ship,0,11/24/2007 12:00:00,-18.4,5,19,20.6
7,ship,A,11/25/2007 A,-19.9,6,18.9,18.7
7,ship,0,11/25/2007 12:00:00,-21.5,8,18.8,20.1
7,ship,A,11/26/2007 A,-23.9,10,18.1,18.4
7,ship,0,11/26/2007 12:00:00,-24.6,10,18.3,19.6
7,ship,A,12/01/2007 A,-26.2,9,19.1,18.8
7,ship,A,12/03/2007 A,-20.1,2,20.4,19.6
7,ship,A,12/13/2007 A,-17.8,1,21.7,20.8
7,ship,A,12/14/2007 A,-18.8,4,21,20.7
7,ship,A,12/06/2007 A,-19.4,7,20.3,19
7,ship,A,12/07/2007 A,-11.7,2,23.1,21
7,ship,0,01/02/2008 12:00:00,-12.9,1,23.9,23.1
7,ship,A,01/03/2008 A,-16.1,5,23,21.5
7,ship,0,01/03/2008 12:00:00,-19.4,7,22.8,23.5
7,ship,A,01/04/2008 A,-22.6,10,22.2,20.5
7,ship,0,01/05/2008 12:00:00,-27,10,21.9,21.5
7,ship,A,01/05/2008 A,-26.2,9,21.9,20.9
7,ship,A,01/06/2008 A,3.9,3,31,28.8
7,ship,A,01/07/2008 A,3.8,6,31.6,29.1
7,ship,A,01/18/2008 A,3.8,7,32.1,30.1
7,ship,0,01/23/2008 12:00:00,-20.8,8,23.4,25
7,ship,A,01/24/2008 A,-16.9,5,24.4,23.7
7,ship,0,01/24/2008 12:00:00,-13.2,1,25,25.5
7,ship,500,01/24/2008 17:00:00,-20.5,1,23.5,21.1
7,ship,A,01/25/2008 A,-22.4,4,22.9,20.9
7,ship,A,01/26/2008 A,2.4,1,NA,27
7,ship,100,01/26/2008 13:00:00,-26.8,10,22,21.2
7,ship,A,01/28/2008 A,-2.1,3,NA,26.7
